date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:05:37	197/197	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%225b62ab8c-10f%22	https://berkahepoxy.neocities.org/robots.txt		(from )
11:05:38	61850/61850	---MCZ	200	added ('OK')	text/html	etag:W/%225b62abd7-f19a%22	https://berkahepoxy.neocities.org/	E:/c/HTML/berkahepoxy.neocities.org/berkahepoxy.neocities.org/index.html	(from )
11:05:39	271/271	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%225b62ab8c-10f%22	https://berkahepoxy.neocities.org/feed	E:/c/HTML/berkahepoxy.neocities.org/berkahepoxy.neocities.org/feed	(from https://berkahepoxy.neocities.org/)
11:05:40	271/271	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%225b62ab8c-10f%22	https://berkahepoxy.neocities.org/comments/feed	E:/c/HTML/berkahepoxy.neocities.org/berkahepoxy.neocities.org/comments/feed	(from https://berkahepoxy.neocities.org/)
11:05:42	1712/1712	---MCZ	200	added ('OK')	text/css	etag:W/%225b62ac41-6b0%22	https://berkahepoxy.neocities.org/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=5.0.1	E:/c/HTML/berkahepoxy.neocities.org/berkahepoxy.neocities.org/wp-content/plugins/contact-form-7/includes/css/styles972f.css	(from https://berkahepoxy.neocities.org/)
11:05:43	12711/12711	---MCZ	200	added ('OK')	text/css	etag:W/%225b62ac48-31a7%22	https://berkahepoxy.neocities.org/wp-content/plugins/easy-facebook-likebox/public/assets/css/public.css?ver=4.3.5	E:/c/HTML/berkahepoxy.neocities.org/berkahepoxy.neocities.org/wp-content/plugins/easy-facebook-likebox/public/assets/css/public8f76.css	(from https://berkahepoxy.neocities.org/)
11:05:44	271/271	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%225b62ab8c-10f%22	https://berkahepoxy.neocities.org/wp-content/plugins/easy-facebook-likebox/public/assets/css/font-awesome.css?ver=4.3.5	E:/c/HTML/berkahepoxy.neocities.org/berkahepoxy.neocities.org/wp-content/plugins/easy-facebook-likebox/public/assets/css/font-awesome8f76.css	(from https://berkahepoxy.neocities.org/)
11:05:45	271/271	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%225b62ab8c-10f%22	https://berkahepoxy.neocities.org/wp-content/plugins/easy-facebook-likebox/public/assets/css/animate.css?ver=4.3.5	E:/c/HTML/berkahepoxy.neocities.org/berkahepoxy.neocities.org/wp-content/plugins/easy-facebook-likebox/public/assets/css/animate8f76.css	(from https://berkahepoxy.neocities.org/)
11:05:46	271/271	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%225b62ab8c-10f%22	https://berkahepoxy.neocities.org/wp-content/plugins/easy-facebook-likebox/public/assets/popup/magnific-popup.css?ver=4.3.5	E:/c/HTML/berkahepoxy.neocities.org/berkahepoxy.neocities.org/wp-content/plugins/easy-facebook-likebox/public/assets/popup/magnific-popup8f76.css	(from https://berkahepoxy.neocities.org/)
11:05:47	271/271	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%225b62ab8c-10f%22	https://berkahepoxy.neocities.org/wp-content/plugins/page-generator-pro/assets/css/frontend.css?ver=4.9.5	E:/c/HTML/berkahepoxy.neocities.org/berkahepoxy.neocities.org/wp-content/plugins/page-generator-pro/assets/css/frontend55fe.css	(from https://berkahepoxy.neocities.org/)
11:05:48	1590/1590	---MCZ	200	added ('OK')	text/css	etag:W/%225b62abed-636%22	https://berkahepoxy.neocities.org/wp-content/themes/krystal/style.css?ver=4.9.5	E:/c/HTML/berkahepoxy.neocities.org/berkahepoxy.neocities.org/wp-content/themes/krystal/style55fe.css	(from https://berkahepoxy.neocities.org/)
11:05:49	146153/146153	---MCZ	200	added ('OK')	text/css	etag:W/%225b62abf2-23ae9%22	https://berkahepoxy.neocities.org/wp-content/themes/krystal/css/bootstrap.css?ver=3.3.7	E:/c/HTML/berkahepoxy.neocities.org/berkahepoxy.neocities.org/wp-content/themes/krystal/css/bootstrap7433.css	(from https://berkahepoxy.neocities.org/)
11:05:50	30863/30863	---MCZ	200	added ('OK')	text/css	etag:W/%225b62ac48-788f%22	https://berkahepoxy.neocities.org/wp-content/themes/krystal/css/font-awesome.css?ver=4.6.3	E:/c/HTML/berkahepoxy.neocities.org/berkahepoxy.neocities.org/wp-content/themes/krystal/css/font-awesome4698.css	(from https://berkahepoxy.neocities.org/)
11:05:50	7789/7789	---MCZ	200	added ('OK')	text/css	etag:W/%225b62ac52-1e6d%22	https://berkahepoxy.neocities.org/wp-content/themes/krystal/css/magnific-popup.css?ver=1.1.0	E:/c/HTML/berkahepoxy.neocities.org/berkahepoxy.neocities.org/wp-content/themes/krystal/css/magnific-popupf488.css	(from https://berkahepoxy.neocities.org/)
11:05:51	72259/72259	---MCZ	200	added ('OK')	text/css	etag:W/%225b62ac44-11a43%22	https://berkahepoxy.neocities.org/wp-content/themes/krystal/css/animate.css?ver=1.0	E:/c/HTML/berkahepoxy.neocities.org/berkahepoxy.neocities.org/wp-content/themes/krystal/css/animate5152.css	(from https://berkahepoxy.neocities.org/)
11:05:52	49247/49247	---MCZ	200	added ('OK')	text/css	etag:W/%225b62abf4-c05f%22	https://berkahepoxy.neocities.org/wp-content/themes/krystal/css/jquery.mCustomScrollbar.css?ver=1.0	E:/c/HTML/berkahepoxy.neocities.org/berkahepoxy.neocities.org/wp-content/themes/krystal/css/jquery.mCustomScrollbar5152.css	(from https://berkahepoxy.neocities.org/)
11:05:54	31137/31137	---MCZ	200	added ('OK')	text/css	etag:W/%225b62abf5-79a1%22	https://berkahepoxy.neocities.org/wp-content/themes/krystal/css/krystal-style.css?ver=1.0.5	E:/c/HTML/berkahepoxy.neocities.org/berkahepoxy.neocities.org/wp-content/themes/krystal/css/krystal-style97de.css	(from https://berkahepoxy.neocities.org/)
11:05:54	4013/4013	---MCZ	200	added ('OK')	text/css	etag:W/%225b62abf4-fad%22	https://berkahepoxy.neocities.org/wp-content/themes/krystal/css/krystal-style-responsive.css?ver=1.0.5	E:/c/HTML/berkahepoxy.neocities.org/berkahepoxy.neocities.org/wp-content/themes/krystal/css/krystal-style-responsive97de.css	(from https://berkahepoxy.neocities.org/)
11:05:55	9204/9204	---MCZ	200	added ('OK')	text/css	etag:W/%225b62ac57-23f4%22	https://berkahepoxy.neocities.org/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min.css?ver=3.1.0	E:/c/HTML/berkahepoxy.neocities.org/berkahepoxy.neocities.org/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min324d.css	(from https://berkahepoxy.neocities.org/)
11:05:57	31305/31305	---MCZ	200	added ('OK')	text/css	etag:W/%225b62ac5d-7a49%22	https://berkahepoxy.neocities.org/wp-content/plugins/elementor/assets/lib/font-awesome/css/font-awesome.min.css?ver=4.7.0	E:/c/HTML/berkahepoxy.neocities.org/berkahepoxy.neocities.org/wp-content/plugins/elementor/assets/lib/font-awesome/css/font-awesome.min1849.css	(from https://berkahepoxy.neocities.org/)
11:05:58	18468/18468	---MCZ	200	added ('OK')	text/css	etag:W/%225b62ac52-4824%22	https://berkahepoxy.neocities.org/wp-content/plugins/elementor/assets/lib/animations/animations.min.css?ver=2.0.3	E:/c/HTML/berkahepoxy.neocities.org/berkahepoxy.neocities.org/wp-content/plugins/elementor/assets/lib/animations/animations.minb95e.css	(from https://berkahepoxy.neocities.org/)
11:06:00	77241/77241	---MCZ	200	added ('OK')	text/css	etag:W/%225b62ac43-12db9%22	https://berkahepoxy.neocities.org/wp-content/plugins/elementor/assets/css/frontend.min.css?ver=2.0.3	E:/c/HTML/berkahepoxy.neocities.org/berkahepoxy.neocities.org/wp-content/plugins/elementor/assets/css/frontend.minb95e.css	(from https://berkahepoxy.neocities.org/)
11:06:01	4604/4604	---MCZ	200	added ('OK')	text/css	etag:W/%225b62ac39-11fc%22	https://berkahepoxy.neocities.org/wp-content/uploads/elementor/css/global.css?ver=1522644145	E:/c/HTML/berkahepoxy.neocities.org/berkahepoxy.neocities.org/wp-content/uploads/elementor/css/global473e.css	(from https://berkahepoxy.neocities.org/)
